dist	tag	x	Q	error
gamma	cdf	2.0450220e-30	0.00100000	-0.00000198
gamma	quantile	2.0450220e-30	0.00100000	-0.00003000
gamma	cdf	4.1525973e-20	0.01000000	0.00000812
gamma	quantile	4.1525973e-20	0.01000000	-0.00002000
gamma	cdf	5.9056078e-10	0.10000000	0.00008870
gamma	quantile	5.9056078e-10	0.10000000	-0.00065000
gamma	cdf	0.0058689962	0.50000000	-0.00078722
gamma	quantile	0.0058689962	0.50000000	0.00002000
gamma	cdf	2.6975362	0.90000000	0.00008224
gamma	quantile	2.6975362	0.90000000	0.00023000
gamma	cdf	15.660532	0.99000000	0.00000449
gamma	quantile	15.660532	0.99000000	-0.00001000
gamma	cdf	33.820605	0.99900000	-0.00000312
gamma	quantile	33.820605	0.99900000	0.00000000
gamma	cdf	2.8080771e-30	0.00100000	0.00000568
gamma	quantile	2.8080771e-30	0.00100000	0.00000000
gamma	cdf	3.2971567e-20	0.01000000	0.00002816
gamma	quantile	3.2971567e-20	0.01000000	-0.00001000
gamma	cdf	5.9375218e-10	0.10000000	-0.00021260
gamma	quantile	5.9375218e-10	0.10000000	-0.00002000
gamma	cdf	0.0057016878	0.50000000	-0.00016897
gamma	quantile	0.0057016878	0.50000000	0.00119000
gamma	cdf	2.5636626	0.90000000	-0.00006800
gamma	quantile	2.5636626	0.90000000	0.00004000
gamma	cdf	15.905609	0.99000000	-0.00000648
gamma	quantile	15.905609	0.99000000	0.00002000
gamma	cdf	34.352912	0.99900000	0.00000035
gamma	quantile	34.352912	0.99900000	-0.00001000
gamma	cdf	8.9094185e-31	0.00100000	0.00000190
gamma	quantile	8.9094185e-31	0.00100000	0.00001000
gamma	cdf	4.0260864e-20	0.01000000	-0.00000660
gamma	quantile	4.0260864e-20	0.01000000	0.00000000
gamma	cdf	6.4654372e-10	0.10000000	-0.00002233
gamma	quantile	6.4654372e-10	0.10000000	0.00011000
gamma	cdf	0.0060310507	0.50000000	0.00001644
gamma	quantile	0.0060310507	0.50000000	-0.00139000
gamma	cdf	2.6338338	0.90000000	0.00003264
gamma	quantile	2.6338338	0.90000000	0.00046000
gamma	cdf	15.525245	0.99000000	0.00001221
gamma	quantile	15.525245	0.99000000	0.00001000
gamma	cdf	33.601796	0.99900000	0.00000097
gamma	quantile	33.601796	0.99900000	0.00000000
gamma	cdf	1.1053207e-29	0.00100000	-0.00000590
gamma	quantile	1.1053207e-29	0.00100000	0.00001000
gamma	cdf	7.8771274e-20	0.01000000	-0.00002623
gamma	quantile	7.8771274e-20	0.01000000	-0.00006000
gamma	cdf	6.4114436e-10	0.10000000	-0.00017639
gamma	quantile	6.4114436e-10	0.10000000	-0.00010000
gamma	cdf	0.0057987177	0.50000000	-0.00017680
gamma	quantile	0.0057987177	0.50000000	-0.00027000
gamma	cdf	2.6502358	0.90000000	0.00022457
